epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,26,0.6635622978210449,,0.9089752435684204,
1,49,,0.890625,,0.2571842074394226
1,53,0.8637951016426086,,0.3151935636997223,
2,80,0.8696158528327942,,0.3074701726436615,
3,99,,0.921875,,0.2811298668384552
3,107,0.8771827816963196,,0.2813069522380829,
4,134,0.9022118449211121,,0.24771195650100708,
